video number, frame number, cell number of x, cell number of y,KM1,KM2,KM3,KM4,KM5,KM6,KM7
10R.mp4,6,4,3,-573.622867,389.756314,-66.935136,-56.531741,-59.727955,-49.598800,23.176059
10R.mp4,6,4,4,-507.235348,736.966489,12.822209,-15.500510,10.710621,7.295810,-0.184817
10R.mp4,7,1,1,-298.629243,801.797776,3.916041,-182.596142,138.333404,8.252931,5.046277
10R.mp4,7,1,2,-344.862045,912.397358,3.579172,-55.079756,30.435367,-2.906727,-5.006961
10R.mp4,7,1,3,-386.116815,794.638286,-4.043319,-73.876640,21.343828,-13.063472,-0.418397
10R.mp4,7,1,4,-375.293270,868.142830,7.295377,-64.509619,48.895060,5.587554,0.556356
10R.mp4,7,2,1,-269.181658,928.688210,2.621994,-134.352090,102.771533,5.668367,5.823497
10R.mp4,7,2,2,-346.554804,756.833141,-1.727448,-116.159096,61.174092,-12.141287,-26.194441
10R.mp4,7,2,3,-332.731832,708.892546,-6.090962,-159.805163,83.331889,-12.481230,-21.943797
10R.mp4,7,2,4,-268.310271,932.815082,1.844616,-131.564903,97.881969,3.789883,6.455640
10R.mp4,7,3,1,-411.869482,917.798132,8.407897,2.842330,-3.576566,2.917420,-0.206156
10R.mp4,7,3,2,-383.024795,701.314441,-114.356919,-35.310748,-56.176034,-1.446242,15.287499
10R.mp4,7,3,3,-414.401752,589.964421,-118.337089,-55.928107,-39.624076,-16.315857,18.838609
10R.mp4,7,3,4,-429.397556,870.523257,9.171585,-9.297282,5.507942,4.004467,0.212455
10R.mp4,7,4,1,-427.921218,842.086053,9.348437,-29.029473,21.363509,5.407620,0.802471
10R.mp4,7,4,2,-558.561111,492.951827,-55.334555,-30.135155,-22.000173,-6.285304,4.667150
10R.mp4,7,4,3,-576.489233,384.887115,-66.809774,-56.716253,-59.603784,-49.500750,23.168724
10R.mp4,7,4,4,-507.235348,736.966489,12.822209,-15.500510,10.710621,7.295810,-0.184817
10R.mp4,8,1,1,-294.519120,798.073290,3.228743,-189.704307,142.375575,7.603240,7.632133
10R.mp4,8,1,2,-339.619175,915.363563,2.679348,-49.967472,21.091408,-6.734564,-14.026929
10R.mp4,8,1,3,-383.520305,800.148664,-3.739572,-69.859709,15.085856,-15.846873,-5.070472
10R.mp4,8,1,4,-355.465115,886.927357,4.946289,-70.476419,47.938460,1.774387,2.401689
10R.mp4,8,2,1,-271.285909,947.997348,2.717832,-120.088142,91.975902,5.102902,5.212043
10R.mp4,8,2,2,-331.363868,758.550671,-3.802614,-132.198132,71.433219,-12.630133,-24.916510
10R.mp4,8,2,3,-317.318544,743.079746,-13.406968,-148.879239,66.855687,-16.063398,-18.762243
10R.mp4,8,2,4,-261.387830,949.989272,2.035899,-128.422567,97.401169,4.585553,5.863273
10R.mp4,8,3,1,-410.882213,918.144336,8.611066,1.713176,-1.788596,3.512372,-0.401716
10R.mp4,8,3,2,-378.989485,742.018325,-105.616193,-22.206782,-61.621884,-3.957008,14.382600
10R.mp4,8,3,3,-399.243345,638.605599,-123.315215,-39.475841,-46.780615,-7.966174,15.702550
10R.mp4,8,3,4,-406.887461,930.299572,8.190677,5.704100,-5.713585,2.634508,-0.300360
10R.mp4,8,4,1,-424.622616,853.073907,9.205067,-25.429044,18.659016,5.144796,0.668307
10R.mp4,8,4,2,-532.294248,559.219693,-55.645211,-17.625953,-23.910940,-0.919298,1.913313
10R.mp4,8,4,3,-589.572470,392.465191,-63.154617,-44.979740,-58.137960,-40.372069,19.322009
10R.mp4,8,4,4,-477.470659,801.005037,11.769246,-5.459964,4.207559,6.493900,-0.698900
10R.mp4,9,1,1,-294.519120,798.073290,3.228743,-189.704307,142.375575,7.603240,7.632133
