video number, frame number, cell number of x, cell number of y, source, blockw, blockh, srcx, srcy, dstx, dsty
10R.mp4 ,2 ,2 ,4 ,1 ,16 ,16 ,72 ,104, 72 ,104
10R.mp4 ,2 ,3 ,4 ,-1 ,16 ,16 ,88 ,104, 88 ,104
10R.mp4 ,2 ,3 ,4 ,1 ,16 ,16 ,88 ,104, 88 ,104
10R.mp4 ,2 ,3 ,4 ,-1 ,16 ,16 ,104 ,104, 104 ,104
10R.mp4 ,2 ,3 ,4 ,1 ,16 ,16 ,104 ,104, 104 ,104
10R.mp4 ,2 ,3 ,4 ,-1 ,16 ,16 ,120 ,104, 120 ,104
10R.mp4 ,2 ,3 ,4 ,1 ,16 ,16 ,120 ,104, 120 ,104
10R.mp4 ,2 ,4 ,4 ,-1 ,16 ,16 ,152 ,104, 152 ,104
10R.mp4 ,2 ,4 ,4 ,1 ,16 ,16 ,152 ,104, 152 ,104
10R.mp4 ,2 ,1 ,4 ,-1 ,16 ,16 ,8 ,120, 8 ,120
10R.mp4 ,2 ,1 ,4 ,1 ,16 ,16 ,8 ,120, 8 ,120
10R.mp4 ,2 ,1 ,4 ,-1 ,16 ,16 ,24 ,120, 24 ,120
10R.mp4 ,2 ,1 ,4 ,1 ,16 ,16 ,24 ,120, 24 ,120
10R.mp4 ,2 ,1 ,4 ,-1 ,16 ,16 ,40 ,120, 40 ,120
10R.mp4 ,2 ,1 ,4 ,1 ,16 ,16 ,40 ,120, 40 ,120
10R.mp4 ,2 ,2 ,4 ,-1 ,16 ,16 ,56 ,120, 56 ,120
10R.mp4 ,2 ,2 ,4 ,1 ,16 ,16 ,56 ,120, 56 ,120
10R.mp4 ,2 ,2 ,4 ,-1 ,16 ,16 ,72 ,120, 72 ,120
10R.mp4 ,2 ,2 ,4 ,1 ,16 ,16 ,72 ,120, 72 ,120
10R.mp4 ,2 ,3 ,4 ,-1 ,16 ,16 ,88 ,120, 88 ,120
10R.mp4 ,2 ,3 ,4 ,-1 ,16 ,16 ,104 ,120, 104 ,120
10R.mp4 ,2 ,3 ,4 ,1 ,16 ,16 ,104 ,120, 104 ,120
10R.mp4 ,2 ,3 ,4 ,-1 ,16 ,16 ,120 ,120, 120 ,120
10R.mp4 ,2 ,3 ,4 ,1 ,16 ,16 ,120 ,120, 120 ,120
10R.mp4 ,2 ,4 ,4 ,-1 ,16 ,16 ,136 ,120, 136 ,120
10R.mp4 ,2 ,4 ,4 ,1 ,16 ,16 ,136 ,120, 136 ,120
10R.mp4 ,2 ,4 ,4 ,-1 ,16 ,16 ,152 ,123, 152 ,120
10R.mp4 ,3 ,1 ,1 ,-1 ,16 ,16 ,8 ,8, 8 ,8
10R.mp4 ,3 ,1 ,1 ,-1 ,16 ,16 ,24 ,8, 24 ,8
10R.mp4 ,3 ,1 ,1 ,-1 ,16 ,16 ,40 ,8, 40 ,8
10R.mp4 ,3 ,2 ,1 ,-1 ,16 ,16 ,56 ,8, 56 ,8
10R.mp4 ,3 ,2 ,1 ,-1 ,16 ,16 ,72 ,8, 72 ,8
10R.mp4 ,3 ,3 ,1 ,-1 ,16 ,16 ,88 ,8, 88 ,8
