4 10
Video,Frame,Cell,Histogram
10,12,3,0#0#9#54#179#832#98#18#9#1#
10,12,4,0#0#0#0#124#957#117#2#0#0#
10,12,5,0#0#0#0#39#924#237#0#0#0#
10,12,6,0#7#5#30#102#872#183#1#0#0#
10,12,7,0#6#17#63#111#817#185#1#0#0#
10,12,8,0#0#0#0#13#977#210#0#0#0#
10,12,9,0#0#0#1#163#986#50#0#0#0#
10,12,10,0#7#97#92#203#770#31#0#0#0#
10,12,11,0#25#126#85#230#691#43#0#0#0#
10,12,12,0#0#0#1#209#943#47#0#0#0#
10,12,13,0#0#0#1#205#915#79#0#0#0#
10,12,14,0#14#55#46#415#639#28#2#1#0#
10,12,15,0#20#61#105#460#532#18#3#1#0#
10,12,16,0#0#0#3#297#841#58#0#1#0#
10,13,1,0#0#0#1#77#830#289#3#0#0#
10,13,2,0#0#1#24#142#918#100#10#5#0#
10,13,3,0#0#10#55#173#827#111#19#4#1#
10,13,4,0#0#0#0#127#953#118#2#0#0#
10,13,5,0#0#0#0#34#929#237#0#0#0#
10,13,6,0#7#5#26#106#879#177#0#0#0#
10,13,7,0#6#20#63#113#815#182#1#0#0#
10,13,8,0#0#0#0#13#977#210#0#0#0#
10,13,9,0#0#0#1#161#987#51#0#0#0#
10,13,10,0#7#99#91#203#769#31#0#0#0#
10,13,11,0#24#123#92#225#695#41#0#0#0#
10,13,12,0#0#0#1#209#943#47#0#0#0#
10,13,13,0#0#0#1#206#914#79#0#0#0#
10,13,14,0#14#55#46#415#639#28#2#1#0#
10,13,15,0#20#61#105#460#532#18#3#1#0#
10,13,16,0#0#0#3#299#839#58#0#1#0#
10,14,1,0#0#0#1#76#832#288#3#0#0#
10,14,2,0#0#1#17#157#917#96#7#3#2#
10,14,3,0#1#9#50#151#851#119#16#3#0#
10,14,4,0#0#0#0#132#952#114#2#0#0#
10,14,5,0#0#0#0#34#928#238#0#0#0#
10,14,6,0#8#6#29#101#874#182#0#0#0#
10,14,7,0#13#12#58#128#831#157#1#0#0#
10,14,8,0#0#0#0#14#974#212#0#0#0#
10,14,9,0#0#0#0#160#987#53#0#0#0#
10,14,10,0#5#100#91#203#769#32#0#0#0#
10,14,11,0#20#126#87#224#707#36#0#0#0#
10,14,12,0#0#0#1#206#944#49#0#0#0#
10,14,13,0#0#0#0#195#925#80#0#0#0#
10,14,14,0#14#55#46#412#641#29#1#2#0#
10,14,15,0#20#60#103#460#533#21#2#1#0#
10,14,16,0#0#0#2#296#847#54#0#1#0#
10,15,1,0#0#0#1#76#835#285#3#0#0#
10,15,2,0#0#0#18#125#942#108#6#1#0#
10,15,3,0#0#9#31#164#863#109#19#5#0#
10,15,4,0#0#0#0#132#952#114#2#0#0#
10,15,5,0#0#0#0#36#924#240#0#0#0#
10,15,6,0#11#7#34#114#845#189#0#0#0#
10,15,7,0#13#16#61#151#802#156#1#0#0#
10,15,8,0#0#0#0#14#985#201#0#0#0#
10,15,9,0#0#0#0#171#977#52#0#0#0#
10,15,10,0#5#104#87#225#743#36#0#0#0#
10,15,11,0#21#123#91#228#696#41#0#0#0#
10,15,12,0#0#0#1#218#925#56#0#0#0#
10,15,13,0#0#0#1#202#917#80#0#0#0#
10,15,14,0#14#55#46#424#627#30#2#2#0#
10,15,15,0#20#60#101#467#532#17#1#1#1#
10,15,16,0#0#0#3#298#847#51#0#1#0#
10,16,1,0#0#0#0#78#824#296#2#0#0#
10,16,2,0#0#0#20#111#944#111#12#2#0#
10,16,3,0#0#6#39#156#876#106#15#2#0#
10,16,4,0#0#0#0#135#943#120#2#0#0#
10,16,5,0#0#0#0#29#929#242#0#0#0#
10,16,6,0#12#7#31#114#850#186#0#0#0#
10,16,7,0#14#14#77#142#808#145#0#0#0#
10,16,8,0#0#0#0#13#979#208#0#0#0#
10,16,9,0#0#0#1#149#998#52#0#0#0#
10,16,10,0#5#102#92#211#760#30#0#0#0#
10,16,11,0#22#118#97#218#703#42#0#0#0#
10,16,12,0#0#0#1#217#922#60#0#0#0#
10,16,13,0#0#0#0#201#919#80#0#0#0#
10,16,14,0#13#55#47#416#638#26#5#0#0#
10,16,15,0#27#53#102#465#532#18#1#1#1#
10,16,16,0#0#0#4#291#854#50#0#1#0#
10,17,1,0#0#0#0#82#829#288#1#0#0#
10,17,2,0#0#0#11#121#953#100#9#6#0#
10,17,3,0#0#7#46#156#873#98#18#2#0#
10,17,4,0#0#0#0#135#943#120#2#0#0#
10,17,5,0#0#0#0#35#938#227#0#0#0#
10,17,6,1#13#9#34#112#851#180#0#0#0#
10,17,7,0#16#22#70#147#809#136#0#0#0#
10,17,8,0#0#0#0#14#979#207#0#0#0#
10,17,9,0#0#0#1#157#994#48#0#0#0#
10,17,10,0#8#102#91#207#759#33#0#0#0#
10,17,11,0#22#119#96#221#699#43#0#0#0#
10,17,12,0#0#0#1#231#907#61#0#0#0#
10,17,13,0#0#0#0#225#893#82#0#0#0#
10,17,14,0#13#55#47#417#635#28#5#0#0#
10,17,15,0#28#51#105#467#526#20#1#1#1#
10,17,16,0#0#0#4#300#841#54#0#1#0#
10,18,1,0#0#0#0#81#828#290#1#0#0#
10,18,2,0#0#0#14#113#944#109#13#7#0#
10,18,3,0#0#5#40#161#859#98#22#13#2#
10,18,4,0#0#0#0#134#944#120#2#0#0#
10,18,5,0#0#0#0#35#938#227#0#0#0#
10,18,6,0#12#11#34#94#866#183#0#0#0#
10,18,7,0#18#23#86#117#820#136#0#0#0#
10,18,8,0#0#0#0#14#979#207#0#0#0#
10,18,9,0#0#0#1#157#994#48#0#0#0#
10,18,10,0#8#102#90#208#759#33#0#0#0#
10,18,11,0#22#118#95#221#701#43#0#0#0#
10,18,12,0#0#0#1#231#907#61#0#0#0#
10,18,13,0#0#0#0#224#894#82#0#0#0#
10,18,14,0#13#55#47#417#635#28#5#0#0#
10,18,15,0#28#51#105#469#525#19#1#1#1#
10,18,16,0#0#0#4#299#842#54#0#1#0#
10,19,1,0#0#0#0#81#830#288#1#0#0#
10,19,2,0#0#0#12#122#936#109#13#8#0#
10,19,3,0#0#2#40#154#864#102#15#18#5#
10,19,4,0#0#0#0#134#944#120#2#0#0#
10,19,5,0#0#0#0#35#938#227#0#0#0#
10,19,6,0#11#16#27#89#870#187#0#0#0#
10,19,7,0#18#26#79#117#824#136#0#0#0#
10,19,8,0#0#0#0#14#979#207#0#0#0#
10,19,9,0#0#0#1#157#994#48#0#0#0#
10,19,10,0#8#102#90#208#759#33#0#0#0#
10,19,11,0#22#119#96#221#699#43#0#0#0#
10,19,12,0#0#0#1#231#907#61#0#0#0#
10,19,13,0#0#0#0#225#893#82#0#0#0#
10,19,14,0#13#55#47#417#635#28#5#0#0#
10,19,15,0#28#51#105#470#523#20#1#1#1#
10,19,16,0#0#0#4#300#841#54#0#1#0#
10,20,1,0#0#0#0#72#836#291#1#0#0#
10,20,2,0#0#0#13#105#946#117#14#5#0#
10,20,3,0#0#3#32#143#871#112#24#12#3#
10,20,4,0#0#0#0#143#934#121#2#0#0#
10,20,5,0#0#0#0#29#944#227#0#0#0#
10,20,6,0#13#14#27#85#879#182#0#0#0#
10,20,7,0#17#23#88#115#816#141#0#0#0#
10,20,8,0#0#0#0#7#990#203#0#0#0#
10,20,9,0#0#0#0#155#1005#40#0#0#0#
10,20,10,0#7#100#87#180#791#35#0#0#0#
10,20,11,0#22#122#89#194#737#36#0#0#0#
10,20,12,0#0#0#1#169#1001#29#0#0#0#
10,20,13,0#0#0#1#187#941#71#0#0#0#
10,20,14,0#15#55#38#398#665#24#4#1#0#
10,20,15,0#20#58#101#453#548#16#3#1#0#
10,20,16,0#0#0#3#245#910#41#1#0#0#
10,21,1,0#0#0#0#73#835#292#0#0#0#
10,21,2,0#0#0#11#107#959#107#11#4#1#
10,21,3,0#0#4#37#158#849#126#20#6#0#
10,21,4,0#0#0#0#140#937#121#2#0#0#
10,21,5,0#0#0#0#33#954#213#0#0#0#
10,21,6,0#15#10#35#92#866#182#0#0#0#
10,21,7,0#14#31#73#124#807#151#0#0#0#
10,21,8,0#0#0#0#7#990#203#0#0#0#
10,21,9,0#0#0#0#156#1004#40#0#0#0#
10,21,10,0#13#91#90#188#778#40#0#0#0#
10,21,11,0#22#122#92#205#720#39#0#0#0#
10,21,12,0#0#0#1#180#986#33#0#0#0#
10,21,13,0#0#0#1#197#922#80#0#0#0#
10,21,14,0#13#56#41#398#655#33#3#1#0#
10,21,15,0#21#58#110#440#548#19#2#2#0#
10,21,16,0#0#0#3#272#879#45#1#0#0#
10,22,1,0#0#0#0#71#843#283#3#0#0#
10,22,2,0#0#0#18#99#960#110#8#4#1#
10,22,3,0#0#2#38#152#868#126#14#0#0#
10,22,4,0#0#0#0#127#957#114#2#0#0#
10,22,5,0#0#0#0#11#993#196#0#0#0#
10,22,6,0#13#12#36#71#883#185#0#0#0#
10,22,7,0#15#26#55#140#811#153#0#0#0#
10,22,8,0#0#0#0#8#975#217#0#0#0#
10,22,9,0#0#0#1#114#1059#26#0#0#0#
10,22,10,0#8#96#91#180#803#22#0#0#0#
10,22,11,0#17#128#90#198#735#32#0#0#0#
10,22,12,0#0#0#1#185#973#41#0#0#0#
